osm_id,name,lat,lon
1014510616,St Luke Hospital,27.4648038,95.3612101
1014526726,Pinewood Hospital,27.4970136,95.3516507
1014538808,Life Line Hospital - Tinsukia,27.4925976,95.3609741
1015801508,"L.G.B. Civil Hospital,Tinsukia",27.4991191,95.3587625
1015801510,Aditya Hospital,27.4941647,95.3484441
1025792264,Dr. S.K.Dey Hospital,27.4889906,95.3522515
1375751934,Civil Hospital Shillong,25.5679611,91.8807062
1578252835,Mahendra Mohan Choudhury Hospital,26.1854322,91.7404472
1690134377,NERIST Medical Unit,27.1298566,93.7365723
1739998743,Unknown,27.7396748,95.9117097
1740002014,Unknown,27.6715105,95.7576066
1987734179,Sanjivani Hospital,26.7575886,94.201555
2332856892,Jaintapur Upazila Health Complex,25.1361745,92.1265808
2332872340,Zakiganj Upazila Health Complex,24.8842777,92.3642292
2333164527,Akhaura Upazila Health Complex,23.8645379,91.203273
2333176629,Chagalnaiya Upazila Health Complex,23.0382598,91.5166759
2333176632,Parshuram Upazila Health Complex,23.2107104,91.4447134
2383182545,IMSR,26.7490914,94.1774577
2389291420,"Emanuel Hospital, Pailapool",24.8244991,93.0153112
2686563541,Modern Clinic,26.3240761,94.5217855
2689917278,Doctor's Clinic & Mediciner,26.3243522,94.5177439
2696256995,Impur Mission Hospital Clinic,26.3253666,94.5224108
3547099282,Health Sub Centre,27.7551763,95.0720967
3777970746,Mittal Pharmacy,27.4882355,95.3614383
3780974361,Agarwal Hospital and Research Centre,27.4860869,95.3797308
3914776960,Mawsumi Hospital,24.83185,92.800264
3921072129,Valley Hospital,24.783285,92.795832
3921072130,"South City Hospital, Cachar",24.7856047,92.7955799
3921072158,Nightingale Hospital,24.793674,92.7928722
3921072159,Medinova,24.7921663,92.7912446
4101022014,Govt Dispensary,26.5068894,94.4130927
4474581844,Community Health Centre,28.266996,95.6136558
4483884014,Community Health Center,27.5942488,93.8264146
4544430044,NE Homeopathic College and Hospital,27.0816216,93.6034293
4672136360,Ayursundra Superspeciality Hospital,26.1090489,91.7190636
4689339043,GU Hospital,26.1548233,91.6660347
4869717739,Bethany Hospital Outreach OPD Services,25.7556131,91.8856792
4871891718,Nongpoh Civil Hospital,25.909543,91.8768375
4920054783,Hm Hospital and Research Centre Pvt.Ltd,26.1310276,91.7858925
4925330128,Unknown,27.3313407,88.6135864
5025650757,"Community Health Centre, Sagolmang",24.9612467,94.0224994
5074262121,Community Health Centre,26.3933509,94.5331556
5187607837,District Hospital,28.7967948,95.910334
5187608025,Primary Health Center Etalin,28.6075944,95.8712339
5269826123,Raj Medicity,24.8160794,93.9434382
5320288022,General hospital,28.1688407,94.8010238
5596194222,Udalguri PHC,26.7478202,92.0974002
5843462204,Boikunthapur Health Sub-Centre,27.7500133,95.0526353
6093127315,Unknown,26.2075432,91.6776942
6098806650,Baptist Christian Hospital,26.6523508,92.7729652
6168636020,Gauhati Medical College and Hospital (GMCH),26.1595109,91.7686637
6197603548,GMCH Dental College,26.1602914,91.7701374
6197607043,GMCH Postmortem Ward,26.1600421,91.7711596
6205680429,Sanjevani Hospital,26.160924,91.7094281
6205680430,Swagat Super Speciality Surgical Institute,26.1603733,91.7073624
6255128239,CHIS (referal hospital),25.860236,93.7804314
6255151466,Eden Hospital,25.8999432,93.7007122
6255303391,Naga Hospital,25.6694195,94.0960672
6268608185,Brijondernagar,24.4838806,92.1588775
6387635521,"District Hospital, Bishnupur",24.6319847,93.7619193
6433556155,CHC Ngopa,23.881729,93.2118337
6467317786,Yingkiong District Hospital,28.6423099,95.025431
6493516285,"Yuksam, PHC",27.3708529,88.2252546
6763195716,Oking Hospital And Research Clinic Pvt Ltd,25.6688782,94.1056576
6846290087,50 bed Hospital,24.7781476,93.143353
6902545405,Government General Hospital Blood Bank - Namchi,27.1655039,88.360583
6902810705,Rahman Hospitals Private Limited,26.1350283,91.8095034
6905015648,diphu cancer hodspital,25.8429968,93.4331672
6905030116,Gomati District Hospital,23.5545804,91.4556831
6908083719,Kanchanpur Sub-divisional Hospital,24.0396985,92.1985665
6908083736,Manubazar Rural Hospital,23.0668626,91.6445223
6908083760,Rajib Gandhi Memorial Hospital,24.3180247,92.0025198
6908083765,Tripura Sundari Sub divisional Hospital,23.5363433,91.4974934
6908083775,Belonia Sub-divisional Hospital,23.2505139,91.4676967
6908093887,Mothers Care Children Hospital and Research Centre,24.8035935,93.9266829
6908093894,"Jivan Hospital, Kakching",24.4961834,94.0034947
6908093911,Suba Hospital and Assisted Reproductive Centre,24.8126913,93.9252124
6908093918,"Shija Hospitals and Research Institute, Langol",24.8353055,93.9139169
6908093923,Christian Hospital,24.824927,93.9453457
6908093934,Public Hospital and Research Institute,24.8118836,93.9504654
6908094337,Mahanam Seva Sadan,24.3900466,92.160176
6908097600,"District Hospital, Tawang",27.5890458,91.8646409
6908098039,J.N. Hospital Management Society,24.8115897,93.9619821
6908100786,Agartala Hospital And Research Centre,23.8303051,91.2784789
6908100806,"Bishalghar S.D. Hospital, West Tripura",23.6828067,91.2794593
6908100827,Amarpur Sub divisional Hospital,23.5166478,91.6502009
6908100832,Dharmanagar Sub-divisional Hospital,24.3903666,92.1590334
6908108234,Chailengta Sub Divisional Hospital,23.9511506,92.0077421
6908108239,"Bimal Sinha Memorial S.D. Hospital, Dhalai",24.1973668,91.8280891
6908108252,Khowai District Hospital,24.0715915,91.6025823
6908108263,"Govinda Ballav Panth Hospital, West Tripura",23.8596535,91.2916915
6908111085,Devlok Hospital,23.8410733,91.282737
6908111090,"Cancer Hospital,West Tripura",23.8608346,91.294603
6908111111,Agartala Govt Medical College and GBP Hospital,23.8602986,91.2928221
6908120436,Peoples Health Foundation Centre,24.3306179,93.6886463
6908120441,Sielmat Christian Hospital and Research Center,24.349423,93.7014189
6908120446,Boriatari Memorial Hospital,27.0952799,93.6782125
6908120471,Faith Hospital,25.9051075,93.7196231
6908120476,Zion Hospital and Research Centre,25.9161945,93.7476133
6908120485,Eleutheros Christian Society Hospital,26.2371121,94.8134185
6908120490,Y. Rochill Hospital,26.0149631,94.5262223
6908120501,Nikos Hospital And Research Centre,25.9086408,93.715467
6908120508,Tara Memorial Hospital,27.1281628,93.7454997
6908120513,Polo Hospital Pvt Ltd,27.0843407,93.6054642
6908120518,Central Referral Hospital,27.3163644,88.5975829
6908120519,Sikkim Manipal Institute of Medical Sciences,27.3174225,88.5975802
6908213058,R.P. Chest Hospital,25.5771305,91.8662676
6908445869,"Metro Hospital, Dimapur",25.9140329,93.716442
6909772443,Tura Civil Hospital(DH),25.5147491,90.2037942
6909772449,Dr. H. Gordon Robert Hospital (Khasi-Jaintia Presbyterian),25.584894,91.8751504
6909859202,"Nazareth Hospital, Kolasib",24.2334996,92.6740779
6909859216,"CHC, Vairengte",24.5079987,92.7664854
6909859217,"District Hospital,Kolasib",24.2314023,92.6766193
6909859223,"PHC, Rawpuichhip",23.7841698,92.5601256
6909859294,Greenwood Hospital,23.7555439,92.7310816
6909859305,"Sub-District Hospital,Saitual",23.6821385,92.9630148
6909859395,"District Hospital, Serchhip",23.3078982,92.8556728
6909859417,"Christian Hospital, Lawngtlai",22.5356749,92.8981758
6909859429,"District Hospital, Siaha",22.4883875,92.9828605
6909859499,"District Hospital, Mamit",23.909285,92.4947387
